"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP3_cer_WTs_F1_G12_GS2018","cer","WT","LowN","16 h, low N","F1_G12","cer",960,"WT_LowN_960"
"WT_TP3_par_WTs_H2_G12_GS2018","par","WT","LowN","16 h, low N","H2_G12","par",960,"WT_LowN_960"
"WT_TP3_par_WTs_C2_G6_GS2018","par","WT","LowN","16 h, low N","C2_G6","par",960,"WT_LowN_960"
"WT_TP3_cer_WTs_D1_G6_GS2018","cer","WT","LowN","16 h, low N","D1_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_WTs_G1_G12_GS2018","cer","WT","LowN","16 h, low N","G1_G12","cer",960,"WT_LowN_960"
"WT_TP3_cer_WTs_C1_G6_GS2018","cer","WT","LowN","16 h, low N","C1_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_WTs_B1_G6_GS2018","cer","WT","LowN","16 h, low N","B1_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_WTs_E1_G12_GS2018","cer","WT","LowN","16 h, low N","E1_G12","cer",960,"WT_LowN_960"
"WT_TP3_par_WTs_B2_G6_GS2018","par","WT","LowN","16 h, low N","B2_G6","par",960,"WT_LowN_960"
"WT_TP3_par_WTs_D2_G6_GS2018","par","WT","LowN","16 h, low N","D2_G6","par",960,"WT_LowN_960"
"WT_TP3_par_WTs_F2_G12_GS2018","par","WT","LowN","16 h, low N","F2_G12","par",960,"WT_LowN_960"
"WT_TP3_cer_WTs_A1_G6_GS2018","cer","WT","LowN","16 h, low N","A1_G6","cer",960,"WT_LowN_960"
"WT_TP3_par_WTs_A2_G6_GS2018","par","WT","LowN","16 h, low N","A2_G6","par",960,"WT_LowN_960"
"WT_TP3_par_WTs_E2_G12_GS2018","par","WT","LowN","16 h, low N","E2_G12","par",960,"WT_LowN_960"
"WT_13_cer_HAP4andWTonYPD","cer","WT","HAP4","11.08 h, YPD","rep1","cer",664.8,"WT_HAP4_664.8"
"WT_14_cer_HAP4andWTonYPD","cer","WT","HAP4","23.17 h, YPD","rep1","cer",1390.2,"WT_HAP4_1390.2"
"WT_12_cer_HAP4andWTonYPD","cer","WT","HAP4","10.08 h, YPD","rep1","cer",604.8,"WT_HAP4_604.8"
"WT_5_cer_HAP4andWTonYPD","cer","WT","HAP4","3.58 h, YPD","rep1","cer",214.8,"WT_HAP4_214.8"
"WT_3_cer_HAP4andWTonYPD","cer","WT","HAP4","2.08 h, YPD","rep1","cer",124.8,"WT_HAP4_124.8"
"WT_9_cer_HAP4andWTonYPD","cer","WT","HAP4","7.08 h, YPD","rep1","cer",424.8,"WT_HAP4_424.8"
"WT_13_par_HAP4andWTonYPD","par","WT","HAP4","11.08 h, YPD","rep1","par",664.8,"WT_HAP4_664.8"
"WT_8_cer_HAP4andWTonYPD","cer","WT","HAP4","6.08 h, YPD","rep1","cer",364.8,"WT_HAP4_364.8"
"WT_11_cer_HAP4andWTonYPD","cer","WT","HAP4","9.08 h, YPD","rep1","cer",544.8,"WT_HAP4_544.8"
"WT_3_par_HAP4andWTonYPD","par","WT","HAP4","2.08 h, YPD","rep1","par",124.8,"WT_HAP4_124.8"
"WT_15_cer_HAP4andWTonYPD","cer","WT","HAP4","32.5 h, YPD","rep1","cer",1950,"WT_HAP4_1950"
"WT_7_par_HAP4andWTonYPD","par","WT","HAP4","5.08 h, YPD","rep1","par",304.8,"WT_HAP4_304.8"
"WT_2_cer_HAP4andWTonYPD","cer","WT","HAP4","1.33 h, YPD","rep1","cer",79.8,"WT_HAP4_79.8"
"WT_10_cer_HAP4andWTonYPD","cer","WT","HAP4","8.08 h, YPD","rep1","cer",484.8,"WT_HAP4_484.8"
"WT_11_par_HAP4andWTonYPD","par","WT","HAP4","9.08 h, YPD","rep1","par",544.8,"WT_HAP4_544.8"
"WT_8_par_HAP4andWTonYPD","par","WT","HAP4","6.08 h, YPD","rep1","par",364.8,"WT_HAP4_364.8"
"WT_1_cer_HAP4andWTonYPD","cer","WT","HAP4","0 h, YPD","rep1","cer",0,"WT_HAP4_0"
"WT_2_par_HAP4andWTonYPD","par","WT","HAP4","1.33 h, YPD","rep1","par",79.8,"WT_HAP4_79.8"
"WT_6_cer_HAP4andWTonYPD","cer","WT","HAP4","4.33 h, YPD","rep1","cer",259.8,"WT_HAP4_259.8"
"WT_5_par_HAP4andWTonYPD","par","WT","HAP4","3.58 h, YPD","rep1","par",214.8,"WT_HAP4_214.8"
"WT_4_par_HAP4andWTonYPD","par","WT","HAP4","2.83 h, YPD","rep1","par",169.8,"WT_HAP4_169.8"
"WT_1_par_HAP4andWTonYPD","par","WT","HAP4","0 h, YPD","rep1","par",0,"WT_HAP4_0"
"WT_4_cer_HAP4andWTonYPD","cer","WT","HAP4","2.83 h, YPD","rep1","cer",169.8,"WT_HAP4_169.8"
"WT_10_par_HAP4andWTonYPD","par","WT","HAP4","8.08 h, YPD","rep1","par",484.8,"WT_HAP4_484.8"
"WT_7_cer_HAP4andWTonYPD","cer","WT","HAP4","5.08 h, YPD","rep1","cer",304.8,"WT_HAP4_304.8"
"WT_9_par_HAP4andWTonYPD","par","WT","HAP4","7.08 h, YPD","rep1","par",424.8,"WT_HAP4_424.8"
