"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_6_par_HAP4andWTonYPD","par","WT","HAP4","4.33 h, YPD","rep1","par",259.8,"WT_HAP4_259.8"
"WT_15_par_HAP4andWTonYPD","par","WT","HAP4","32.5 h, YPD","rep1","par",1950,"WT_HAP4_1950"
"WT_12_par_HAP4andWTonYPD","par","WT","HAP4","10.08 h, YPD","rep1","par",604.8,"WT_HAP4_604.8"
"WT_14_par_HAP4andWTonYPD","par","WT","HAP4","23.17 h, YPD","rep1","par",1390.2,"WT_HAP4_1390.2"
"WT_27_par_SCtoLowPi_rep1","par","WT","LowPi","330 min, No Pi","rep1","par",330,"WT_LowPi_330"
"WT_25_cer_SCtoLowPi_rep1","cer","WT","LowPi","300 min, No Pi","rep1","cer",300,"WT_LowPi_300"
"WT_27_cer_SCtoLowPi_rep1","cer","WT","LowPi","330 min, No Pi","rep1","cer",330,"WT_LowPi_330"
"WT_23_cer_SCtoLowPi_rep1","cer","WT","LowPi","270 min, No Pi","rep1","cer",270,"WT_LowPi_270"
"WT_9_cer_SCtoLowPi_rep1","cer","WT","LowPi","60 min, No Pi","rep1","cer",60,"WT_LowPi_60"
"WT_24_cer_SCtoLowPi_rep1","cer","WT","LowPi","285 min, No Pi","rep1","cer",285,"WT_LowPi_285"
"WT_5_cer_SCtoLowPi_rep1","cer","WT","LowPi","20 min, No Pi","rep1","cer",20,"WT_LowPi_20"
"WT_18_cer_SCtoLowPi_rep1","cer","WT","LowPi","195 min, No Pi","rep1","cer",195,"WT_LowPi_195"
"WT_25_par_SCtoLowPi_rep1","par","WT","LowPi","300 min, No Pi","rep1","par",300,"WT_LowPi_300"
"WT_15_cer_SCtoLowPi_rep1","cer","WT","LowPi","150 min, No Pi","rep1","cer",150,"WT_LowPi_150"
"WT_4_cer_SCtoLowPi_rep1","cer","WT","LowPi","10 min, No Pi","rep1","cer",10,"WT_LowPi_10"
"WT_21_cer_SCtoLowPi_rep1","cer","WT","LowPi","240 min, No Pi","rep1","cer",240,"WT_LowPi_240"
"WT_1_par_SCtoLowPi_rep2","par","WT","LowPi","-5 min, SC","rep2","par",-5,"WT_LowPi_-5"
"WT_12_cer_SCtoLowPi_rep1","cer","WT","LowPi","105 min, No Pi","rep1","cer",105,"WT_LowPi_105"
"WT_5_par_SCtoLowPi_rep1","par","WT","LowPi","20 min, No Pi","rep1","par",20,"WT_LowPi_20"
"WT_1_cer_SCtoLowPi_rep2","cer","WT","LowPi","-5 min, SC","rep2","cer",-5,"WT_LowPi_-5"
"WT_18_par_SCtoLowPi_rep1","par","WT","LowPi","195 min, No Pi","rep1","par",195,"WT_LowPi_195"
"WT_13_par_SCtoLowPi_rep1","par","WT","LowPi","120 min, No Pi","rep1","par",120,"WT_LowPi_120"
"WT_16_par_SCtoLowPi_rep1","par","WT","LowPi","165 min, No Pi","rep1","par",165,"WT_LowPi_165"
"WT_3_cer_SCtoLowPi_rep1","cer","WT","LowPi","5 min, No Pi","rep1","cer",5,"WT_LowPi_5"
"WT_22_par_SCtoLowPi_rep1","par","WT","LowPi","255 min, No Pi","rep1","par",255,"WT_LowPi_255"
"WT_2_cer_SCtoLowPi_rep1","cer","WT","LowPi","0 min, SC","rep1","cer",0,"WT_LowPi_0"
"WT_24_par_SCtoLowPi_rep1","par","WT","LowPi","285 min, No Pi","rep1","par",285,"WT_LowPi_285"
"WT_12_par_SCtoLowPi_rep1","par","WT","LowPi","105 min, No Pi","rep1","par",105,"WT_LowPi_105"
"WT_26_cer_SCtoLowPi_rep1","cer","WT","LowPi","315 min, No Pi","rep1","cer",315,"WT_LowPi_315"
"WT_19_cer_SCtoLowPi_rep1","cer","WT","LowPi","210 min, No Pi","rep1","cer",210,"WT_LowPi_210"
"WT_16_cer_SCtoLowPi_rep1","cer","WT","LowPi","165 min, No Pi","rep1","cer",165,"WT_LowPi_165"
"WT_21_par_SCtoLowPi_rep1","par","WT","LowPi","240 min, No Pi","rep1","par",240,"WT_LowPi_240"
"WT_15_par_SCtoLowPi_rep1","par","WT","LowPi","150 min, No Pi","rep1","par",150,"WT_LowPi_150"
"WT_26_par_SCtoLowPi_rep1","par","WT","LowPi","315 min, No Pi","rep1","par",315,"WT_LowPi_315"
"WT_17_cer_SCtoLowPi_rep2","cer","WT","LowPi","180 min, No Pi","rep2","cer",180,"WT_LowPi_180"
"WT_10_par_SCtoLowPi_rep1","par","WT","LowPi","75 min, No Pi","rep1","par",75,"WT_LowPi_75"
"WT_6_par_SCtoLowPi_rep1","par","WT","LowPi","30 min, No Pi","rep1","par",30,"WT_LowPi_30"
"WT_22_cer_SCtoLowPi_rep1","cer","WT","LowPi","255 min, No Pi","rep1","cer",255,"WT_LowPi_255"
"WT_3_par_SCtoLowPi_rep1","par","WT","LowPi","5 min, No Pi","rep1","par",5,"WT_LowPi_5"
"WT_14_par_SCtoLowPi_rep1","par","WT","LowPi","135 min, No Pi","rep1","par",135,"WT_LowPi_135"
"WT_14_cer_SCtoLowPi_rep1","cer","WT","LowPi","135 min, No Pi","rep1","cer",135,"WT_LowPi_135"
"WT_8_cer_SCtoLowPi_rep1","cer","WT","LowPi","50 min, No Pi","rep1","cer",50,"WT_LowPi_50"
"WT_11_cer_SCtoLowPi_rep1","cer","WT","LowPi","90 min, No Pi","rep1","cer",90,"WT_LowPi_90"
"WT_9_par_SCtoLowPi_rep1","par","WT","LowPi","60 min, No Pi","rep1","par",60,"WT_LowPi_60"
"WT_10_cer_SCtoLowPi_rep1","cer","WT","LowPi","75 min, No Pi","rep1","cer",75,"WT_LowPi_75"
"WT_4_par_SCtoLowPi_rep1","par","WT","LowPi","10 min, No Pi","rep1","par",10,"WT_LowPi_10"
"WT_8_par_SCtoLowPi_rep1","par","WT","LowPi","50 min, No Pi","rep1","par",50,"WT_LowPi_50"
"WT_6_cer_SCtoLowPi_rep1","cer","WT","LowPi","30 min, No Pi","rep1","cer",30,"WT_LowPi_30"
"WT_7_par_SCtoLowPi_rep1","par","WT","LowPi","40 min, No Pi","rep1","par",40,"WT_LowPi_40"
"WT_1_par_SCtoLowPi_rep1","par","WT","LowPi","-5 min, SC","rep1","par",-5,"WT_LowPi_-5"
"WT_7_cer_SCtoLowPi_rep1","cer","WT","LowPi","40 min, No Pi","rep1","cer",40,"WT_LowPi_40"
"WT_23_par_SCtoLowPi_rep1","par","WT","LowPi","270 min, No Pi","rep1","par",270,"WT_LowPi_270"
"WT_17_par_SCtoLowPi_rep2","par","WT","LowPi","180 min, No Pi","rep2","par",180,"WT_LowPi_180"
"WT_19_par_SCtoLowPi_rep1","par","WT","LowPi","210 min, No Pi","rep1","par",210,"WT_LowPi_210"
"WT_29_cer_SCtoLowPi_rep1","cer","WT","LowPi","360 min, No Pi","rep1","cer",360,"WT_LowPi_360"
"WT_20_cer_SCtoLowPi_rep1","cer","WT","LowPi","225 min, No Pi","rep1","cer",225,"WT_LowPi_225"
"WT_29_par_SCtoLowPi_rep1","par","WT","LowPi","360 min, No Pi","rep1","par",360,"WT_LowPi_360"
"WT_13_cer_SCtoLowPi_rep1","cer","WT","LowPi","120 min, No Pi","rep1","cer",120,"WT_LowPi_120"
"WT_17_par_SCtoLowPi_rep1","par","WT","LowPi","180 min, No Pi","rep1","par",180,"WT_LowPi_180"
"WT_20_par_SCtoLowPi_rep1","par","WT","LowPi","225 min, No Pi","rep1","par",225,"WT_LowPi_225"
"WT_2_par_SCtoLowPi_rep1","par","WT","LowPi","0 min, SC","rep1","par",0,"WT_LowPi_0"
"WT_11_par_SCtoLowPi_rep1","par","WT","LowPi","90 min, No Pi","rep1","par",90,"WT_LowPi_90"
"WT_01_cer_CellCycle_rep1","cer","WT","CC","0 min, YPD","rep1","cer",0,"WT_CC_0"
"WT_02_cer_CellCycle_rep1","cer","WT","CC","5 min, HU","rep1","cer",5,"WT_CC_5"
"WT_03_cer_CellCycle_rep1","cer","WT","CC","10 min, HU","rep1","cer",10,"WT_CC_10"
"WT_04_cer_CellCycle_rep1","cer","WT","CC","20 min, HU","rep1","cer",20,"WT_CC_20"
"WT_05_cer_CellCycle_rep1","cer","WT","CC","30 min, HU","rep1","cer",30,"WT_CC_30"
"WT_06_cer_CellCycle_rep1","cer","WT","CC","60 min, HU","rep1","cer",60,"WT_CC_60"
"WT_07_cer_CellCycle_rep1","cer","WT","CC","120 min, HU","rep1","cer",120,"WT_CC_120"
"WT_08_cer_CellCycle_rep1","cer","WT","CC","125 min, YPD","rep1","cer",125,"WT_CC_125"
"WT_01_par_CellCycle_rep1","par","WT","CC","0 min, YPD","rep1","par",0,"WT_CC_0"
"WT_02_par_CellCycle_rep1","par","WT","CC","5 min, HU","rep1","par",5,"WT_CC_5"
"WT_03_par_CellCycle_rep1","par","WT","CC","10 min, HU","rep1","par",10,"WT_CC_10"
"WT_04_par_CellCycle_rep1","par","WT","CC","20 min, HU","rep1","par",20,"WT_CC_20"
"WT_05_par_CellCycle_rep1","par","WT","CC","30 min, HU","rep1","par",30,"WT_CC_30"
"WT_06_par_CellCycle_rep1","par","WT","CC","60 min, HU","rep1","par",60,"WT_CC_60"
"WT_07_par_CellCycle_rep1","par","WT","CC","120 min, HU","rep1","par",120,"WT_CC_120"
"WT_08_par_CellCycle_rep1","par","WT","CC","125 min, YPD","rep1","par",125,"WT_CC_125"
"WT_01_cer_CellCycle_rep2","cer","WT","CC","0 min, YPD","rep2","cer",0,"WT_CC_0"
"WT_02_cer_CellCycle_rep2","cer","WT","CC","5 min, HU","rep2","cer",5,"WT_CC_5"
"WT_03_cer_CellCycle_rep2","cer","WT","CC","10 min, HU","rep2","cer",10,"WT_CC_10"
"WT_04_cer_CellCycle_rep2","cer","WT","CC","20 min, HU","rep2","cer",20,"WT_CC_20"
"WT_05_cer_CellCycle_rep2","cer","WT","CC","30 min, HU","rep2","cer",30,"WT_CC_30"
"WT_06_cer_CellCycle_rep2","cer","WT","CC","60 min, HU","rep2","cer",60,"WT_CC_60"
"WT_07_cer_CellCycle_rep2","cer","WT","CC","120 min, HU","rep2","cer",120,"WT_CC_120"
"WT_08_cer_CellCycle_rep2","cer","WT","CC","125 min, YPD","rep2","cer",125,"WT_CC_125"
"WT_01_par_CellCycle_rep2","par","WT","CC","0 min, YPD","rep2","par",0,"WT_CC_0"
"WT_02_par_CellCycle_rep2","par","WT","CC","5 min, HU","rep2","par",5,"WT_CC_5"
"WT_03_par_CellCycle_rep2","par","WT","CC","10 min, HU","rep2","par",10,"WT_CC_10"
"WT_04_par_CellCycle_rep2","par","WT","CC","20 min, HU","rep2","par",20,"WT_CC_20"
"WT_05_par_CellCycle_rep2","par","WT","CC","30 min, HU","rep2","par",30,"WT_CC_30"
"WT_06_par_CellCycle_rep2","par","WT","CC","60 min, HU","rep2","par",60,"WT_CC_60"
"WT_07_par_CellCycle_rep2","par","WT","CC","120 min, HU","rep2","par",120,"WT_CC_120"
"WT_08_par_CellCycle_rep2","par","WT","CC","125 min, YPD","rep2","par",125,"WT_CC_125"
"S25_cer","cer","WT","Cold","0","rep1","cer",0,"WT_Cold_0"
"S57_cer","cer","WT","Cold","0","rep2","cer",0,"WT_Cold_0"
"S26_cer","cer","WT","Cold","15","rep1","cer",15,"WT_Cold_15"
"S58_cer","cer","WT","Cold","15","rep2","cer",15,"WT_Cold_15"
"S27_cer","cer","WT","Cold","30","rep1","cer",30,"WT_Cold_30"
"S59_cer","cer","WT","Cold","30","rep2","cer",30,"WT_Cold_30"
"S28_cer","cer","WT","Cold","60","rep1","cer",60,"WT_Cold_60"
"S60_cer","cer","WT","Cold","60","rep2","cer",60,"WT_Cold_60"
"S29_cer","cer","WT","Heat","0","rep1","cer",0,"WT_Heat_0"
"S61_cer","cer","WT","Heat","0","rep2","cer",0,"WT_Heat_0"
"S30_cer","cer","WT","Heat","15","rep1","cer",15,"WT_Heat_15"
"S62_cer","cer","WT","Heat","15","rep2","cer",15,"WT_Heat_15"
"S31_cer","cer","WT","Heat","30","rep1","cer",30,"WT_Heat_30"
"S63_cer","cer","WT","Heat","30","rep2","cer",30,"WT_Heat_30"
"S32_cer","cer","WT","Heat","60","rep1","cer",60,"WT_Heat_60"
"S25_par","par","WT","Cold","0","rep1","par",0,"WT_Cold_0"
"S57_par","par","WT","Cold","0","rep2","par",0,"WT_Cold_0"
"S58_par","par","WT","Cold","15","rep2","par",15,"WT_Cold_15"
"S27_par","par","WT","Cold","30","rep1","par",30,"WT_Cold_30"
"S59_par","par","WT","Cold","30","rep2","par",30,"WT_Cold_30"
"S28_par","par","WT","Cold","60","rep1","par",60,"WT_Cold_60"
"S60_par","par","WT","Cold","60","rep2","par",60,"WT_Cold_60"
"S29_par","par","WT","Heat","0","rep1","par",0,"WT_Heat_0"
"S61_par","par","WT","Heat","0","rep2","par",0,"WT_Heat_0"
"S30_par","par","WT","Heat","15","rep1","par",15,"WT_Heat_15"
"S62_par","par","WT","Heat","15","rep2","par",15,"WT_Heat_15"
"S31_par","par","WT","Heat","30","rep1","par",30,"WT_Heat_30"
"S63_par","par","WT","Heat","30","rep2","par",30,"WT_Heat_30"
"S32_par","par","WT","Heat","60","rep1","par",60,"WT_Heat_60"
"S64_par","par","WT","Heat","60","rep2","par",60,"WT_Heat_60"
