"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP1_hyp_WTs_A4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A4_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_F11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F5_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_F11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F5_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_A12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A6_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_C11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_G4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G4_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_A6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A6_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_D10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D4_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_D10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D4_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_D12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_D12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D6_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_G5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G5_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G5_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_E6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E6_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_E6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E6_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C5_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_E9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E3_WT2","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_B5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B5_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_F4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_F4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F4_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_C12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C6_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_D5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D5_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_D4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D4_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_B10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B4_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_B10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B4_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_B6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B6_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_H4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_H4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H4_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C4_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_F9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_F9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F3_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_A11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_E3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E3_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_E3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E3_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C3_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_B11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_B11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B5_G12","par",60,"WT_LowN_60"
